idnovel,tr_word1,tr_word2,tr_word3,tr_word4,tr_word5,ch_word1,ch_word2,ch_word3,ch_word4,ch_word5,st_word1,st_word2,st_word3,st_word4,st_word5,md_word1,md_word2,md_word3,md_word4,md_word5
93,웹 소 ,텔 기아 ,직 관력 ,재앙 ,연재 주인공 ,불편하다,진실되다,두렵다,특출나다,복잡하다,멋지다,급하다,일정하다,쓸데없다,작다,재미없다,귀찮다,이러하다,아리송하다,싫다
96,능력 ,주인공 ,내용 ,성공 ,부리 ,있다,같다,곰곰하다,그렇다,없다,같다,있다,없다,그렇다,곰곰하다,NULL,NULL,NULL,NULL,NULL
97,남 주철 ,서 포터 ,이벤트 바로 가기 ,큐브 때 ,탄생 저자 ,기쁘다,재미있다,특별하다,있다,같다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,주인공 ,모리스 일당 ,도 르 ,돈 주인공 ,아카데미 입학 ,있다,광범위하다,그만하다,아니다,상당하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,연합왕국 내각 ,설득 ,여왕 폐하 ,응 천부 ,영조 정 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,조 피 ,때 사람 ,녹 카페 ,생활 공작 ,경주 맛집 ,강력하다,고귀하다,진지하다,자유롭다,수많다,신선하다,철저하다,상당하다,분명하다,흥미롭다,편안하다,아늑하다,딱이다,조용하다,시끄럽다
102,정 원군 ,경민 ,역사 로맨스 ,광해군 ,시간 여행자 ,적응하다,남루하다,짠하다,다르다,파란만장하다,굵다,아기자기하다,더하다,어렵다,강하다,더하다,굵다,어렵다,아기자기하다,담백하다
103,추천 추 ,무한 전생 ,당 결제 ,방랑 기사 ,이 세계 ,있다,재미있다,망하다,즐겁다,재밌다,재미있다,있다,망하다,재밌다,아니다,NULL,NULL,NULL,NULL,NULL
104,정의 ,극악 난이도 ,격변 후 ,최 우희 ,차원 문 ,강하다,있다,재밌다,가능하다,성공하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,카 일 ,마왕 ,카 일 ,말 ,세계 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,매니저 물 ,전생 이 ,소재 ,주인공 ,주인공 ,시원하다,같다,있다,향기롭다,좋아하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,저자 산신령 ,판타지 헌터 ,작품 바로 가기 ,기사 ,장르 ,있다,어떻다,안녕하다,아니다,완벽하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,중세 물 ,이 엘로 ,마경 ,게임 시스템 ,판타지 게임 ,있다,아니다,새롭다,재미있다,그렇다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,NULL,NULL,NULL,NULL,NULL,좋다,있다,억울하다,새롭다,매끄럽다,새롭다,있다,좋다,좋아하다,안녕하다,NULL,NULL,NULL,NULL,NULL
113,고려 시대 ,왕 선의 ,시작 ,고려 ,이성계 ,아니다,좋다,편하다,없다,있다,아니다,같다,답답하다,있다,편하다,NULL,NULL,NULL,NULL,NULL
114,NULL,NULL,NULL,NULL,NULL,안되다,재미없다,아니다,따뜻하다,궁금하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,레벨 업 ,헌터 물 ,능력 덕 ,작가 본인 ,설정 ,당하다,빠르다,나쁘다,깨끗하다,많다,나쁘다,빠르다,당하다,많다,깨끗하다,NULL,NULL,NULL,NULL,NULL
116,송건 제가 ,김수 향 ,인 견 ,조진국 감독 ,스파이 피싱 ,어떻다,좋다,완벽하다,같다,있다,NULL,NULL,NULL,NULL,NULL,안좋다,이러하다,괜찮다,뒤늦다,작다
117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,판타지 지식 ,마나 ,본인 ,주인공 ,부모 ,없다,재밌다,있다,안되다,그렇다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,기업 사냥 ,개 망나니 ,서명 그룹 ,이도형 ,완 ,있다,성공하다,안녕하다,그렇다,환생하다,깔끔하다,자세하다,성공하다,어떻다,착하다,NULL,NULL,NULL,NULL,NULL
121,모바일 게임 ,게임 ,자동 사냥 ,퀘스트 ,위드 ,가난하다,멋지다,뚜렷하다,철저하다,몰두하다,희미하다,탄탄하다,싫어하다,진부하다,지루하다,음산하다,힘겹다,흥미롭다,거대하다,따뜻하다
122,NULL,NULL,NULL,NULL,NULL,굉장하다,성장하다,아니다,독특하다,당하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,게임 속 ,작품 ,주인공 ,현실 게임 ,없어 요 ,아니다,적당하다,없다,솔직하다,이상하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,헌터 물 ,정치 ,문 피아 ,게임 속 ,정치인 ,굳다,탁월하다,검다,역다,성공하다,두렵다,넘치다,생생하다,새롭다,이렇다,힘없다,적당하다,성공하다,짧다,역다
127,길 아성 ,아 성은 ,생각 ,통해 ,유아 ,있다,길다,없다,아니다,그렇다,있다,길다,아니다,멀다,많다,NULL,NULL,NULL,NULL,NULL
128,야구 스포츠 ,카카오페이지 ,게임 ,능력 ,회귀 ,다르다,좋다,있다,당하다,갑작스럽다,재미있다,있다,좋다,갑작스럽다,다르다,NULL,NULL,NULL,NULL,NULL
129,NULL,NULL,NULL,NULL,NULL,아니다,그렇다,없다,괜찮다,편하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,모태 솔로 ,여자 ,책 음기 ,주인공 ,주인공 ,없다,좋다,아니다,있다,상당하다,없다,좋다,아니다,안되다,힘드다,NULL,NULL,NULL,NULL,NULL
131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,알레한드로 ,혁명 단 ,프란츠 대공 ,로마노프 공작 ,회귀 후 ,괜찮다,많다,중요하다,빠르다,부족하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,진성 대군 ,융 ,공 길 ,남 주 ,노비 생활 ,파란만장하다,어떻다,많다,빠르다,있다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,박 서원 ,정해준 ,드라마 속 ,본래 세상 ,서천 농원 ,그렇다,같다,유일하다,없다,흥미롭다,NULL,NULL,NULL,NULL,NULL,흥미롭다,가볍다,없다,유쾌하다,그렇다
135,기초 포인트 ,정지훈 ,코스트 ,서울 연합 ,사람 ,더하다,착하다,그렇다,맛있다,오만하다,애매하다,담백하다,강화하다,손쉽다,야하다,NULL,NULL,NULL,NULL,NULL
136,크리스 ,회귀 전 ,르 카 ,팔 문 ,바이스 나이트 ,있다,성장하다,그렇다,아니다,이렇다,부탁드리다,현명하다,안전하다,다름없다,엄청나다,NULL,NULL,NULL,NULL,NULL
137,삶 ,인류 ,미리 ,사이다 ,헤라클레스 ,그렇다,높다,좋다,이렇다,있다,비슷하다,이렇다,같다,높다,새롭다,NULL,NULL,NULL,NULL,NULL
138,물 ,탑 매 ,물이 다 ,임 주인공 ,이다 여주 ,없다,환생하다,오망하다,동일하다,특이하다,다르다,다름없다,단순하다,잔잔하다,완벽하다,NULL,NULL,NULL,NULL,NULL
139,토로 리아 ,이락 영지 ,발바 카 ,레 이카 ,주인공 ,흥미롭다,수많다,필요하다,조잡하다,부족하다,흥미롭다,부족하다,그렇다,새롭다,바쁘다,NULL,NULL,NULL,NULL,NULL
140,전국 이장 ,대구 무용 ,하네 요 ,합 니다 ,마을 주민 ,험난하다,반갑다,짤막하다,다정하다,벅차다,훌륭하다,아무렇다,아기자기하다,이롭다,독특하다,민망하다,공평하다,버겁다,풍족하다,잘맞다
141,유 선우 ,유명 그룹 ,최강 준 ,악마 종 ,헌터 물 ,방탕하다,조용하다,어렵다,허무하다,성공하다,평온하다,조용하다,방탕하다,안녕하다,낮다,NULL,NULL,NULL,NULL,NULL
142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,게임 속 ,입 니다 ,환생 스토리 ,게임 ,때 ,없다,필요하다,그렇다,힘들다,미치다,같다,있다,필요하다,좋다,진지하다,NULL,NULL,NULL,NULL,NULL
144,안티 치킨 ,진화 ,팬 미팅 ,내용 요약 ,자신 ,급하다,어떻다,시원시원하다,두텁다,충분하다,좋다,멸망하다,야하다,높다,착실하다,필요없다,괜찮다,느리다,미안하다,뛰어나다
145,서 예린 ,이현석 ,회귀 전 ,헌터 물 ,막 드 ,탁월하다,황당하다,더하다,대단하다,신들리다,멀쩡하다,거뜬하다,유사하다,신들리다,뛰어나다,무겁다,드물다,굳다,유사하다,더하다
146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,야구 선수 ,후 야구 ,때 ,말 ,과거 ,그렇다,멋지다,아득하다,없다,위험하다,새롭다,아니다,재미있다,같다,멋지다,NULL,NULL,NULL,NULL,NULL
148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,이면 세계 ,이후 ,작품 ,자신 ,주인공 ,다르다,그렇다,가득하다,비슷하다,아니다,가난하다,가득하다,다르다,재미있다,비슷하다,NULL,NULL,NULL,NULL,NULL
151,책 ,게임 판타지 ,웹툰 은 ,주인공 ,작품 ,시원하다,싫어하다,심심하다,월등하다,쎄다,아니다,멸망하다,이렇다,있다,같다,NULL,NULL,NULL,NULL,NULL
152,축 골 ,헌터 물 ,아 카 ,감 완장 ,라 노벨 ,꼬이다,조용하다,소소하다,얌전하다,흐뭇하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,헌터 물 ,현판 ,독 ,재벌 생활 ,투 베 ,행복하다,대단하다,좋다,아니다,무시무시하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,요리 이치 ,코 붕 ,상 훈이 ,탑 게 ,암 주 ,대단하다,위대하다,심하다,당하다,평범하다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,박 창고 ,노 경화 ,라이브 세션 ,형님 ,존 ,당하다,있다,필요하다,멀다,불타다,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,게임 시스템 ,라 이즈 ,신계 의 ,게임 세상 ,살다가 자신 ,아니다,없다,지루하다,많다,평정하다,같다,지루하다,있다,성장하다,아니다,NULL,NULL,NULL,NULL,NULL
158,야만 전사 ,발리 안 ,주인공 ,중반 이후 ,작품 ,없다,끊임없다,좋다,완전하다,지루하다,안녕하다,왠만하다,궁금하다,솔직하다,부드럽다,완전하다,약하다,끊임없다,지루하다,야만스럽다
160,NULL,NULL,NULL,NULL,NULL,환생하다,성장하다,좋다,있다,재미있다,재미있다,새롭다,있다,성장하다,환생하다,NULL,NULL,NULL,NULL,NULL
161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,장 동하 ,사장 ,대한민국 ,비형랑 ,용 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
