,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
1153,공작이 회귀함,니나뇨,판타지,미제공,미제공,182,18/12/10,완결,http://cf.joara.com/literature_file/20181210_185034.png_thumb.png,"
제국 북부의 수호자 발타자르.
마신의 대륙 강림을 막기 위해 고군분투했지만, 충신의 말로는 죽음 뿐이었다.

“회귀라…….”
믿기지는 않지만, 최후의 순간 내 간절한 바람을 신께서 들어주신 것이라고 해석하기로 했다.
기왕 과거로 돌아왔으니 한번 대차게 살아보리라.",http://www.joara.com/premium_new/book_intro.html?book_code=1332374
1154,내 등급 측정불가,서서,판타지,미제공,미제공,187,19/06/30,완결,http://cf.joara.com/literature_file/20190625_103512.jpg_thumb.png,"
대격변을 맞이한 지구
쏟아져 나오는 괴수들 

그리고 특이한 능력을 가진 사람들
우리는 그들을 '히어로'라 불렀다

『내 등급 측정불가』

히어로로서 적성을 평가받는 '히어로 적성 검사'
고등학생이면 누구나 받는 그 평가에서
뜻밖의 결과를 받게 된 박삼광

[측정불가]

……? 뭔 소리야, 이건?

측정불가 등급을 가진 히어로, 박삼광!
던전 브레이크에서 인류를 구하라!",http://www.joara.com/premium_new/book_intro.html?book_code=1377864
1155,레벨업하는 저승차사,오반석,판타지,미제공,미제공,285,18/09/03,완결,http://cf.joara.com/literature_file/20180903_143015.jpg_thumb.png,"
대학을 졸업하고 삼류 작가로 살아가던 범수는, 어느 날부터 처녀귀신에게 시달리게 된다.
처녀귀신을 쫓으려고 지전을 태우다 졸지에 '저승 경제사범'으로 몰리게 된 범수!
그는 무혐의 처분을 받지만, 다시 이승으로 돌아가기 위해서 어쩔 수 없이, 일년 간 이승에서 저승사자로 일하게 된다.
말 안 듣는 귀신들과 암 걸리게 하는 저승차사 최명, 그들 속에서 범수는 과연 1년을 무사히 버틸 수 있을까?",http://www.joara.com/premium_new/book_intro.html?book_code=1310118
1156,천풍전설,장담,무협,미제공,미제공,250,19/07/09,완결,http://cf.joara.com/literature_file/20190708_144310.jpg_thumb.png,"
전설의 유령총이 나타나고 천하가 피바람에 잠겼다! 유령총과 그를 향한 야욕에 감춰진 진실은 무엇인가?",http://www.joara.com/premium_new/book_intro.html?book_code=1380580
1157,쌍룡기,장담,무협,미제공,미제공,275,19/07/08,완결,http://cf.joara.com/literature_file/20190705_143042.jpg_thumb.png,"
""저는 아버지처럼 살지 않을 겁니다."" 
그게 사도무영이 나이 열다섯에 집을 떠나기로 결심한 이유였다. 
그런데 아버지가 따라 나섰다. 
""나도 이판사판이다. 우리 함께 떠나자, 무영아!"" 

그들이 꿈과 자유를 찾아 집을 떠난 그날 이후, 
밀천십지가 긴 잠에서 깨어나고, 
혼돈이 세상을 뒤덮기 시작했다.",http://www.joara.com/premium_new/book_intro.html?book_code=1379859
1158,유적 포식자,디다트,게임,미제공,미제공,205,19/07/08,완결,http://cf.joara.com/literature_file/20190703_171453.jpg_thumb.png,"
모래시계문의 등장으로 시작된 마법과 유적 그리고 몬스터의 시대.
그 시대 속에서 한 사내에게 찾아온 놀라운 기적.

“모든 것을 먹어치워라. 세상의 모든 것을 먹어치워 스스로를 살찌워라. 그리하면 네 몸을 양분 삼아 자라난 나의 권능들이 너의 충실한 종이 되어줄 것이다.”",http://www.joara.com/premium_new/book_intro.html?book_code=1379491
1159,천상계 지갑전사,랑느,판타지,미제공,미제공,151,19/05/03,완결,http://cf.joara.com/literature_file/20190502_151816.jpg_thumb.png,"
큐브의 부산물을 빼돌려 암시장으로 유통하는 암거래상 백우빈.
가장 신비로운 부산물 중 하나인 번드리드의 눈을 빼돌린 이후 일련의 사건에 휘말리며 한성욱의 몸에서 눈을 뜬다.
허기진 번드리드의 눈이 영혼을 포식하기 위해 폭주했고 살아남으려면 큐브 안에서 사라진 마지막 번드리드의 눈을 찾아야 한다.
세계 최고의 갑부로 다시 태어난 그의 생존기가 시작된다.",http://www.joara.com/premium_new/book_intro.html?book_code=1366480
1160,1억 관객 제작자,플랜비,판타지,미제공,미제공,272,19/06/20,완결,http://cf.joara.com/literature_file/20190708_092157.jpg_thumb.png,"
여섯 번째 영화가 흥행에 실패했다.
쓰디쓴 현실에 한잔하고 집으로 가던 길…
눈앞에 다섯 자리의 숫자가 떠올랐다.

-25,511

‘이건… 전작의 최종 관객수야!’

거기까지 생각이 미칠 때였다.

빠앙! 빠아앙!

'이대로는 안 돼! 한 번만, 다시 한 번만 기회를 줘!'

두 눈을 잠시 멀게 할 정도로 강렬한 하이빔을 바라보며,
몸이 얼어붙은 이규한은 간절히 바랐다.

그리고 다시 눈을 떠 보니…….

-2007년 7월 14일.

낯선 알림음과 함께 나는 10년 전으로 되돌아왔다.",http://www.joara.com/premium_new/book_intro.html?book_code=1376447
1161,재벌 회장이 죽었다,메타포라,판타지,미제공,미제공,140,19/06/10,완결,http://cf.joara.com/literature_file/20190613_100816.jpg_thumb.png,"
조용히 살고 싶었던 남자.
아버지가 남긴 유산이 그를 움직인다.",http://www.joara.com/premium_new/book_intro.html?book_code=1374925
1162,이것이 명의다,초빛,판타지,미제공,미제공,177,19/06/26,완결,http://cf.joara.com/literature_file/20190626_131516.jpg_thumb.png,"
일침신효!
사암침법의 유일한 계승자. 조선의 마지막 정통 침의인 권병기.
그가 현대 한방병원 인턴 권현호의 몸으로 다시 깨어났다.
침 하나로 만병을 고치는 신침.
한방의 위상을 드높이는 인턴 권현호의 파란만장 일대기!

[한의-현대의학] [원샷약침] [빌드업 메디컬재벌] [명의]

[이 글은 '판타지 소설'입니다. 현실과 다른 전개가 있을 수 있으니 참고해 주시고 오직 판타지 소설로만 읽어주시면 감사하겠습니다.]",http://www.joara.com/premium_new/book_intro.html?book_code=1378070
