title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
야색계,정현웅,현대판타지,에피루스,19세 이용가,120,2018.05.24.,완결,//img.ridicdn.net/cover/945043398/xxlarge,"1970년대 실제 사건을 재구성한, 한국판 정치 콜걸 이야기!

최고의 여배우를 꿈꾸던 희대의 미녀 나인숙.
스폰서를 찾아야 한다는 매니저로 인해 시작된 인연으로
단숨에 정재계의 거물을 상대하는 최고급 콜걸로 거듭나는데……. 

골프와 섹스, 정치 자금과 연예계까지.
가장 섹시하고 어두운 세상의 뒷모습이 펼쳐진다!",https://ridibooks.com/books/945043398
후안무치,단운,무협소설,히어로북스,19세 이용가,125,2017.08.18.,완결,//img.ridicdn.net/cover/945017321/xxlarge,"홍등가에서 태어나 자란 사내, 주일웅(朱一雄)!
타고난 외모와 파렴치한 성격, 장삿속을 이용해
약관의 나이에 열 개의 기루를 운영하며 온갖 영약을 먹는다.

그러던 어느 날, 우연히 손에 넣은 신물 ‘바다의 태양’으로 인해
천세교(千世敎)의 인물들에게 쫓기게 되는데…….

“백도 무림에는 간사하고 음흉한 간웅이 필요하다!”

모으면 절대자가 된다는, 세 가지의 신물이 나타나며 혈겁에 뒤덮인 강호.
세상도 구할 겸, 신물을 얻기 위해 주일웅이 출도한다.

돈과 여자, 권력을 향해 달려가는 후안무치한 남자의 이야기!",https://ridibooks.com/books/945017321
특전사,가이란스,퓨전판타지,히어로북스,19세 이용가,210,2016.09.02.,미완결,//img.ridicdn.net/cover/945047320/xxlarge,"북파 특수 공작원, 판타지 세계에 떨어지다!

“씨X…… 누가 죽을 줄 아냐?”

한순간의 유혹에 넘어가 죽을 위기에 처하게 된, 조폭 출신 특전사 박진극.
작전 중 부상을 입고 도망치던 그는 어느 동굴에 떨어지며 의식을 잃는다. 
그런데 다시 눈을 뜨니 소설 속에서나 볼 법한 전혀 다른 세상에 와 있는데…….
어차피 혈혈단신인 몸, 돌아가지 말고 그냥 여기서 눌러 살자!

먹고 먹히는 철저한 강자존의 판타지 세계.
부패한 왕국을 밟고 정복을 향해 나아가는 특전사의 활약이 시작된다!

“그래, 와라! 네놈들은 한 놈도 살아가지 못한다!”",https://ridibooks.com/books/945010227
무적연인,일필(一筆),현대판타지,동아,19세 이용가,175,2017.11.01.,완결,//img.ridicdn.net/cover/809007971/xxlarge,"“당신은 자신이 생각하는 것보다 훨씬 많은 재능을 지닌 존재에요.”

아내에게 배신당한 김현우는 절벽에서 마녀를 만났다.
생사의 경계에서 얻은 신비한 능력과 이름 ‘멜리스’.
여성의 마음을 얻는 힘으로 즐기는 미녀들과의 나날.

그러나 그 힘의 진정한 역할은 따로 있었다.

하나둘씩 모습을 드러내는 그와 같은 ‘각성자’들
그리고 어느 날 갑자기 세계 곳곳에 나타난 영역, ‘블루하프문’.

현실에 나타난 괴물에 맞서, 김현우와 그의 여자들이 나선다!",https://ridibooks.com/books/809007971
향기: 거부할수 없는 유혹,어쩌느냐,퓨전판타지,문피아,19세 이용가,237,2020.01.06.,완결,//img.ridicdn.net/cover/425145946/xxlarge,향기 .. 그것이 가지는 치명적인 유혹.. 그리고 그 유혹을 가지고있는 남자들의 이야기 이제 마지막 이야기를 시작합니다,https://ridibooks.com/books/425145946
1000년동안 못해본 남자-행복한 정복자,써니미라클,현대판타지,문피아,19세 이용가,214,2019.12.24.,완결,//img.ridicdn.net/cover/425142445/xxlarge,"꼬이고 꼬였던 1000년,
그 세월에 대한 보상으로 한번의 방탕한 삶을 허락받았다.
그렇다면 이제 제대로 한 번 살아볼까?

많은 여자들과 다양한 상황속에서 성장하는 주인공.
행위만큼 마음도 중요함을 점점 깨달아 가는 나름 따듯한 글입니다.",https://ridibooks.com/books/425142445
최강남자천강석,달호령,현대판타지,문피아,19세 이용가,147,2019.08.16.,완결,//img.ridicdn.net/cover/425124426/xxlarge,"초리얼 가상현실게임 흑천강호의 서비스 오픈.
스페셜이벤트에 당첨되어 VR헬멧을 받았다.
하체불구였던 내삶은 이제 다시 활화산처럼 일어섰다.
난, 하고자 했지만 하지 못한 모든 일을 이제 시작한다.",https://ridibooks.com/books/425124426
블랙 골드(Black Gold),매검향,퓨전판타지,문피아,19세 이용가,160,2019.07.10.,완결,//img.ridicdn.net/cover/425116296/xxlarge,"블랙 골드(Black Gold)는 곧 석유를 가리키는 말이다. 19세기로 환생한 조선인 강산은 최초의 석유를 생산하는 것을 시작으로 석유의 제왕이 되는 것은 물론 여러 사업을 통해 부의 제국을 이룬다.

또한 검은 황금으로 세계역사의 배후에서 때로는 무대 전면에 등장해 조선은 물론 세계 정치경제 사를 좌지우지한다. 그런 강산의 활약이 뉴욕을 배경으로 지금 막 시작되려 하고 있다.",https://ridibooks.com/books/425116296
하늘 전쟁,라이히,퓨전판타지,문피아,19세 이용가,305,2018.08.09.,완결,//img.ridicdn.net/cover/425081872/xxlarge,"갑자기 지구에 등장한 던전. 
다른 능력자들과 다르게 이능을 얻지 못한 성준은 가이아 대륙으로 차원 이동을 하게 되는데... 

""나는 반드시 지구로 돌아가야 해."" 

과연 성준의 운명은?",https://ridibooks.com/books/425081872
아군잡아 레벨업,시커님,현대판타지,문피아,19세 이용가,116,2017.09.18.,완결,//img.ridicdn.net/cover/425029512/xxlarge,"[던전][회귀][배신][레벨업]
아군을 잡으니 레벨이 오른다.",https://ridibooks.com/books/425029512
