,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
10,마신의 힘을 받은 자,중간스토리,퓨전,미제공,미제공,221,20/02/19,미완결,http://cf.joara.com/literature_file/20200219_101548.jpg_thumb.png,"
헤리브리스 제국의 전신(前身)이라 할 수 있는
500년 역사의 국가 헤리브리스 왕국의 왕세자 
제리트 헤리브리스는 가출 여행 도중 한 몬스터를 만나서 
죽을 위기에 처한다.
하지만 신께서는 그를 사랑한 모양인지 한 소년이 나타나 
그 몬스터를 처치하고는 제리트 왕세자를 구한다.",http://www.joara.com/premium_new/book_intro.html?book_code=1428928
11,신비의 제왕,커틀피쉬,판타지,미제공,미제공,311,20/02/19,미완결,http://cf.joara.com/literature_file/20200219_134422.jpg_thumb.png,"
어느 날 갑자기 이계에 떨어진 평범한 직장인 민석은 자살한 로엔 왕국의 역사학도 ‘클레인 모레티’의 몸에 빙의한다.

근세 유럽과 닮은 이계에는 마법과 신비학의 힘을 이용해 이능을 손에 넣은 ‘초월자’들이 존재했다.

이후 민석은 자신보다 먼저 이계에 도착해 황제의 자리에 오른 ‘로셀 대제’가 남긴 단서를 이용해 ‘점술가’가 되는데…….

과연 그는 ‘점술가’의 능력을 활용해 더욱 강한 초월자가 되어 자신이 살던 세계로 돌아갈 수 있을까?

작가 : 커틀피쉬(愛潛水的烏賊)
원제 : 궤비지주(詭秘之主)
번역 : 김송이",http://www.joara.com/premium_new/book_intro.html?book_code=1428950
12,학사신공,왕위,무협,미제공,미제공,2178,20/02/21,미완결,http://cf.joara.com/literature_file/20200622_2220148650.jpg_thumb.png,"
평범한 산골 소년이 뜻밖에 강호 문파의 기명제자(記名弟子)로 발을 들이게 된다. 
어느 날 우연히, 신체의 잠재된 능력을 극대화하는 약재들을 만들 수 있는 신기의 병(甁)을 얻는다.
여러 단약으로 신체를 육성한 한립은, 최고의 법술과 도술을 연마하여 자신에게 위해되는 문파와 도인들의 계략에 맞서 싸워, 당당히 천하를 발 밑에 두게 될 수 있을 것인가?

작가 : 왕위
원제 : 범인수선전(凡人修仙传)",http://www.joara.com/premium_new/book_intro.html?book_code=1429391
13,일념영원,이근,무협,미제공,미제공,732,20/02/24,미완결,http://cf.joara.com/literature_file/20200224_140257.jpg_thumb.png,"
부모님의 죽음을 경험한 이후로 죽는 것이 세상에서 가장 두려워진 백소준.
그의 삶의 목표는 오직 오래 살아남는 것이다.
장수(長壽)를 이루기 위해 소준은 선인(仙人)이 되기로 하는데,
선인 이청후를 따라서 들어간 영계종은 만만한 곳이 아니었다.
끈기는 있으나 눈치는 없고, 실력은 있으나 요령은 없는,
너무나 순수해서 엉뚱하기까지 한 백소준의 성장 이야기.
과연 그는 그가 꿈꾸는 선인(仙人)을 이룰 수 있을 것인가?

원제 : 일념영항(一念永恒)",http://www.joara.com/premium_new/book_intro.html?book_code=1430179
14, 환룡의 전승자,아이쉬,게임,미제공,미제공,146,20/03/03,미완결,http://cf.joara.com/literature_file/20200303_172415.jpg_thumb.png,"
인류를 지배하려는 인공지능 알렉스. 
이에 맞서 인류를 구원할 운명의 주인공. 
가상현실 게임 공간에서 인류의 생존을 놓고 펼치는 
인간과 인공지능의 대결. 
주인공의 환타스틱한 활약을 기대해주세요.",http://www.joara.com/premium_new/book_intro.html?book_code=1432486
15,Project_Mar-On,메르큐노,게임,미제공,미제공,126,20/03/31,미완결,http://cf.joara.com/literature_file/20200331_0922353707.jpg_thumb.png,"
""날 죽이려고 했다는 건, 네가 죽을수도 있다는 걸 각오했기 때문이잖아?""
ㅡ누군가의 목숨을 다룬다는 건, 그런 거라고.
'게임'이라곤 한 번도 해본 적 없는 전투요원이 가상현실게임에 접속했다?
기본적인 시스템은 물론이고, 심지어 스탯이나 스킬포인트조차 찍을 줄 모르는 초짜 게이머 은가람!
모든 것을 가져간 유다에게 복수하기 위해, 그가 마르온으로 첫 발을 내딛는다!",http://www.joara.com/premium_new/book_intro.html?book_code=1440112
16,블랙기업조선,국뽕,퓨전,미제공,미제공,220,20/04/16,미완결,http://cf.joara.com/literature_file/20200427_1014227079.jpg_thumb.png,"
밀리터리, 스팀펑크 등등 온갖 덕질에 미친 잡덕후가 환생했다.
그런데 아버지가 세종대왕?

덕질에 능한 군주와 덕질에 미친 아들,
그리고 갈려 나가는 대신들과 수많은 인간들.

오늘도 조선의 밤은 야근의 불빛이 가득하다.",http://www.joara.com/premium_new/book_intro.html?book_code=1444779
17,어떤 던전의 인간몬스터[개정판],플캣,퓨전,미제공,미제공,101,20/04/16,미완결,http://cf.joara.com/literature_file/20200416_1501244359.jpg_thumb.png,"
목표를 이루기 위해서라면 뭐든지 한다!
네로. 그 이름은 작은던전에서 시작됐다. 
기상천외한 방법들로 사리사욕을 채우고 전무후무한 인간몬스터로써 던전을 만들어나간다.
편법과 사기. 공갈과 협박. 사랑을 위해서라면 그 무엇도 가리지 않는다. 
몬스터로 만든 창관을 경영해도 마음만큼은 틀림없는 순애(純愛). 
인간으로써 몬스터가 된 네로의 이세계 던전 경영기.",http://www.joara.com/premium_new/book_intro.html?book_code=1444802
18,레벨업 강호,미더라,무협,미제공,미제공,278,20/05/07,미완결,http://cf.joara.com/literature_file/20200507_0945227636.jpg_thumb.png,"
두 개의 몸, 두 개의 신분.
힐링과 사이다를 사람들에게 선사해야 원래 세상으로 돌아갈 수 있는 이상한 시스템.
다른 세상에 떨어진 권강호는 지구로 돌아가기 위해 고군분투한다.
특별한 능력을 가지고 종횡무진 활약하는 그의 행보에 열광하는 사람들.
웃기면서 시원하고 감동적인 모험이 시작된다.",http://www.joara.com/premium_new/book_intro.html?book_code=1451631
19,보통유저,고밤,게임,미제공,미제공,121,20/05/14,미완결,http://cf.joara.com/literature_file/20200514_1657538579.jpg_thumb.png,"
남들보다 더 빠른 레벨업, 더 뛰어난 아이템, 더 중요한 퀘스트.
모든 혜택을 몰아받고 있는 게임 속 금수저들이 있다.
99.9%의 보통 유저와 다른 길을 걷고 있는 게임 속 적폐 세력인 그들을 
모조리 씹어먹고 이용한다.
아무도 믿지 않는 보통 유저 아츠와 수많은 히든 클래스.
결국 게임을 클리어할 사람은 누가 될까?",http://www.joara.com/premium_new/book_intro.html?book_code=1453683
