title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
사막에 단비,교묘히,로맨스,미제공,미제공,73,20/06/16,완결,http://cf.joara.com/literature_file/20200616_1049437526.jpg_thumb.png,"
프로 비서 단우희에게 해결 못 할 문제란 없었다.
비서기피증이라는 말도 안 되는 병명을 핑계로
자신을 병균 취급 하는 상사, 장이현을 만나기 전까지는.

“내가 좀 많이 재수 없게 굴 겁니다.
단 비서가 당장 도망치고 싶어질 만큼.”
“괜찮습니다, 대표님.
저는 어떤 상황에서도 도망쳐 본 적이 없어서.”

기필코 자신을 인정하게 하리라는 일념으로
그의 갖은 변덕도, 찔릴 듯한 까칠함도 모두 견뎌 냈다.
장이현이 미쳐서 고백이라도 하지 않는 한
먼저 도망칠 일은 절대 없을 거라 생각했는데….

“좋아합니다, 단 비서.”
“대체 왜 헛, 아니, 정신 나간, 아니, 이상한 말씀을 하세요?”

혹시 이건 신종 괴롭힘인가?
그래. 상대가 이렇게 나온다면 눈에는 눈, 이에는 이.
그리고… 고백에는 고백이다!

“사실 저도 대표님께 좋은 감정을 가지고 있어요.”

그렇게 울며 겨자 먹기로 사귀게 된 두 사람.
과연 그들은 서로에게 단비 같은 연인이 될 수 있을까?


미리보기

“……내가.”
죽에는 손도 대지 않은 채, 이현이 입을 열었다.
“내가 아프거나 힘들어 보였어요?”
가만히 우희를 바라보는 그의 눈동자가 평소보다 짙은 빛을 띠고 있었다. 이전까지는 한 번도 본 적 없는 색이었다. 그 낯선 감정이 담긴 눈동자에 이름을 붙인다면 꼭 달콤한 울림이 될 것만 같다.
이현의 눈을 마주한 우희는 어째서인지 버석하게 입 안이 메마르는 것 같았다.
“그렇다기보다는.”
장이현이 아프거나 힘들어 보였냐고 하면, 대답은 아니다.
우희의 눈에 비친 그는 그렇게 보이지 않았다.
“슬퍼 보여서.”
“…….”
전혀 생각하지 못했던 우희의 대답에 이현은 저도 모르게 말을 잃었다. 내가 슬퍼 보였다고? 당혹스러웠다. 그런 감정을 전혀 느낀 적이 없었는데.
“내가…… 슬퍼하지 않았으면 좋겠어요?”
어쩌면 나는 단 비서의 말대로 정말 슬펐던 게 아닐까 하는 생각이 들었다.
“네, 슬퍼하지 않으셨으면 좋겠어요.”
이현의 말에 우희가 고개를 끄덕였다. 자연스럽게 다시 이현의 입이 열렸다.
“왜요?”
“그거야 대표님, 제가.”
제가 대표님을 좋아하잖아요. 우리 사귀는 사이잖아요. 할 말은 얼마든지 많았다. 그런데 우희의 입이 선뜻 떨어지질 않았다. 바로 아까까지도 아무렇지 않게 할 수 있었던 말이었는데. 아무런 감정이 담기지 않아서 담백하게 건넬 수 있는 연기였는데.
“단 비서가?”
뒷말을 재촉하듯 가만히 목소리를 낮추는 남자의 얼굴이 가까웠다.
노골적으로 감정을 드러내는 남자의 시선이 우희의 눈에, 입술에 부딪힌다. 덩달아 우희의 시선이 이현의 입술로 향했다.
“제가.”
입을 열어 말을 꺼냈지만, 아무런 의미 없는 말이 반복될 뿐이었다.
“응.”
계속 말해 보라는 것처럼 이현이 고개를 끄덕인다. 그가 뻗은 손끝이 우희의 이마에 닿는다. 세상에서 가장 귀한 것을 보듬는 것처럼 다정한 동작에 우희의 마음이 달큰하게 녹아내렸다.
이제는 제 심장 소리를 스스로도 느끼지 못할 지경이다. 너무 빨리 뛰어서 심장이 가슴 밖으로 튀어나갈 것만 같다.
“걱정을…… 대표님을, 걱정하는 건 당연하니까.”",http://www.joara.com/premium_new/book_intro.html?book_code=1462047
너에게 시나브로,양해연,로맨스,미제공,미제공,74,20/06/16,완결,http://cf.joara.com/literature_file/20200616_1001084382.jpg_thumb.png,"
섣부른 고백으로 짝사랑 상대이자 친한 남사친을 동시에 잃고
연애 세포가 사라져 버린 혜민.

이대로 솔로여도 괜찮겠다는 확신이 생길 즈음,
그녀의 가슴을 다시 설레게 하는 남자가 생기는데
그는 하필 이웃사촌이자 남동생의 절친한 친구인 주환!?

“누나가 보기에는 제가 어떤데요?”
“어?”
“……괜찮은 남자예요?”

그녀에게 주환은 동생 같은 존재였다.
단지 그뿐이었는데…….

“우산은 누나가 쓰고 와요.”
“…….”
“그때처럼 비 맞지 말고.”

어째서 너의 눈을 마주하기가 힘겨운 걸까.

혼란스러운 혜민 앞에 설상가상으로
과거 짝사랑 상대인 대한이 나타나는데.

과연 혜민의 마음이 향하는 곳은 어디일까?
시나브로 다가가는 두 사람의 로맨스.


미리 보기

소파에 몸을 축 늘어뜨린 혜민의 입에서 연거푸 하품이 나왔다. 나른해진 몸은 점점 아래로 미끄러졌고, 덩달아 눈꺼풀도 차츰 내려앉았다.
“누나 9권…….”
대충 훑어본 9권을 테이블에 내려놓던 주환이 말을 멈추었다. 눈앞의 광경에 슬며시 미소 짓던 주환은 혜민의 손에 들린 만화책을 조심스레 뺏곤 베란다로 다가가 커튼을 쳤다. 오는 길에 선반 위 담요를 꺼내는 것도 잊지 않았다.
주환은 훤히 드러난 혜민의 다리를 덮어 주고, 곤히 잠든 그녀의 얼굴 위로 잠시 시선을 두었다. 왜인지 짧은 한숨을 토해 낸 그는 그녀가 잠들어 있는 소파 팔걸이에 등을 기댄 채 바닥에 앉았다.
고요한 거실 안에는 시계 초침 소리와 그녀의 숨소리가 동시에 번져 나갔지만, 그의 귀에 또렷이 박히는 건 오직 한 가지 소리뿐이었다.
주환은 새근거리며 자는 혜민을 한 번 더 돌아보고 나서야, 테이블에 올려 둔 9권을 다시 집어 들었다.",http://www.joara.com/premium_new/book_intro.html?book_code=1462041
블루문,starlight,로맨스판타지,미제공,미제공,204,20/06/15,완결,http://cf.joara.com/literature_file/20200605_1707044669.jpg_thumb.png,"
거대한 푸른 달빛에 의해 이세계로 오게 된 미리는
‘세이리루아’라는 새 이름을 받게 된다.

다행인 건
달의 여신의 후손이자, 황위 계승 서열 3위의 신분이라는 것.
불행인 건
기억의 일부를 잃었고, 그녀의 목숨을 노리는 이들이 많다는 것.

그리고 가장 비극인 건……

“네가 돌아가고 싶다고 울어도 내 옆에 붙들어 둘 거야.
널 황궁 가장 깊숙한 곳에 가둬서라도.”

사랑해선 안 될 사람이자 잔혹한 피의 황제,
차리아스와 자꾸 가까워지게 된다는 것.

“그래도 너와 같이 있고 싶어. 미쳤나 봐.”


미리보기

차리아스가 공손히 손을 내밀어 그녀에게 춤을 신청했다. 그러자 가려진 베일 밖으로도 알아볼 수 있을 만큼 그녀의 눈동자가 사납게 번뜩였다.

“파트너와 첫 번째 춤을 추는 게 관례이다 보니 나도 어쩔 수 없이 이러는 거야.”
“이렇게 책임감이 강한 사람인 줄은 처음 알았네.”

가시가 돋친 목소리와 함께 그녀가 그의 손바닥 위에 손을 얹었다. 그의 말대로 지금은 함께 춤을 추는 수밖에 도리가 없었다.
그는 피식 웃음을 지으며 그녀를 안고 한 바퀴 빙글 돌았다.

“네가 성질머리만 조금 죽였어도 이마가 그렇게 되지는 않았을 거야.”
“이게 전부 내 잘못이라는 거야?”
“놓으라고 할 때 놓았어야지.”
“그 전에 네가 먼저 협박했잖아!”

춤을 추면서도 쉴 새 없이 떠드는 그들을 보며 사람들의 얼굴에 미묘한 표정들이 떠올랐다.
단 한 번도 무도회에 참여한 적이 없었던 2황자였다. 황녀를 에스코트해야 하는 의무 때문에 억지로 나온 거라고 모두 그렇게 알고 있었다. 당연히 바로 사라질 줄 알았는데, 황녀와 즐겁게 대화를 나누는 의외의 모습을 보게 된 것이다.
그러나 정작 두 사람은 다른 사람들을 신경 쓸 겨를이 없었다.

세이는 일부러 그의 발목을 걷어차려 했다. 그런데 차리아스는 그걸 미리 알아차리고 얼른 발을 피해 버렸다.
약이 잔뜩 오른 세이는 그의 허리에 두르고 있던 손으로 옆구리를 살짝 꼬집으려 시도했다. 그러나 그가 춤을 추다 말고 그녀의 손을 잡아 올렸다. 그리고 경악스럽게도 손등에 키스를 했다. 그가 잇새로 조용히 말을 내뱉었다.

“분명히 경고하는데, 여기서 멈추지 않으면, 이것보다 더한 짓을 할 거야.”",http://www.joara.com/premium_new/book_intro.html?book_code=1459382
들러리는 그만할래요,유즈,로맨스판타지,미제공,미제공,129,20/06/12,완결,http://cf.joara.com/literature_file/20200608_1428538611.jpg_thumb.png,"
불행했던 삶을 지나 죽음을 앞둔 시에나는
유일한 친구 데이지에게 충격적인 이야기를 듣게 된다.

“왜 벌써 가려는 거야. 네가 이렇게 사는 걸 더 지켜보고 싶었는데.”
“……뭐?”
“그동안 잘했었잖니. 내 들러리 역할.
네가 내 시녀처럼 구는 것도 꽤 재밌었는데.”

믿었던 이에게 생애 전반을 걸쳐 농락당했음을 깨달은 그때,
기적처럼 두 번째 삶의 기회가 찾아온다!

""입 닥쳐, 데이지. 내가 네 시녀라도 되는 줄 알아?""

평생을 들러리로만 살아왔던 시에나의
유쾌한 반격이 시작된다!",http://www.joara.com/premium_new/book_intro.html?book_code=1460133
담당자의 재량,한시내,로맨스판타지,미제공,미제공,70,20/06/12,완결,http://cf.joara.com/literature_file/20200611_1327192099.jpg_thumb.png,"
#판타지물 #서양풍 #라이벌/앙숙 #나이차커플 #뇌섹남 #능력남 #순정남 #카리스마남 #순정녀 #철벽녀 #무심녀 #이야기중심 #배틀로맨스 #가수X공무원


“내 주변에 있던 여자들은 꼭 나를 좋아하더라고.
근데 이번엔 담당자랑 공과 사를 아주 잘 지킬 수 있을 것 같아. 엄청 다행이지.”

엄청나게 똑똑한 것도 아니고 신체적 능력치도 바닥에 가까우며
지지리도 못사는 대식구들이 짐처럼 쌓여 있는 유진 유니트는
행정국 사원으로 하루하루 문서에 시달리다가 힘이 빠져 퇴근하는 일상을 살고 있다.

오래전부터 스타람 섬의 5인조 가수 타르안의 팬이었던 유진은
스타람 봉쇄령이 내린 이후에도 친구인 노엘에게 밀수품을 사 가면서
소위 말하는 ‘팬질’을 삶의 낙으로 여긴다.

그러던 와중 리더, 리한 카드민이 스스로 타르안을 해체하고
아메탄 왕국에 망명하며 전무후무한 사례를 만드는데.
일 떠넘기기의 피해자로 유진은 그의 행정적인 처리를 담당하게 된다.

문서에 있는 것만 믿고 돈 주는 일만 한다는 유진의 철칙과
국왕의 생각 없이 내뱉은 ‘신변을 지키라’는 왕명을 지키기 위해
유진은 자꾸만 터지는 사건들 속에서 어쩌다 보니 계속 리한을 지켜 주게 되는데.



* <꿈속의 기분> 연작 가이드
「꿈속의 기분」 : 잠깐의 실수 때문에 꿈으로 연결된 약제국의 ‘리젠’과 수사국의 ‘카이든’. 라이벌 관계였던 두 사람은 은밀한 꿈으로, 또 왕위를 둘러싼 커다란 음모로 서로 얽히게 되는데…….

「담당자의 재량」 : 교역이 금지된 외국의 그룹 ‘타르안’을 몰래 팬질 중인, 행정국의 ‘유진’. 시키는 일만 하자는 주의의 그녀지만…… ‘타르안’을 해체하고 망명한 리더 ‘리한’을 담당하게 되어 패닉에 빠진다. 그런데 이 남자 어딘가 수상하다?",http://www.joara.com/premium_new/book_intro.html?book_code=1460827
아가씨,전미소,로맨스판타지,미제공,미제공,88,20/06/12,완결,http://cf.joara.com/literature_file/20200611_1523239426.jpg_thumb.png,"
가문의 몰락과 함께 죽음을 맞이한 아도라스 왕국 제일의 미녀 아엘라.
죽음 끝에서 다시 눈을 떴을때, 시간은 2년 전으로 되돌아와 있었다.
새롭게 주어진 두 번째 삶. 
더는 아버지의 체스말로 살고 싶지 않았던 그녀는 이번에야말로 제 삶을 찾으려 하는데.

“하여간에 너는 언제 철이 들 생각이냐? 귀족들의 혼인은 옛날부터 가문과 가문의 거래가 아니더냐?”

하지만 전생과 같은 일이 자꾸만 반복되고…….
마주치고 싶지 않았던, 하지만 죽을 만큼 보고 싶었던 그 남자, 케일론이 아엘라에게 손을 내민다.

“제가 아니더라도 아가씨께선 결혼하시게 될 겁니다. 그 자의 나이가 저보다 많을수도 있습니다.”
“백작님은 어떻게 그리 단언하시나요?”
“후작께서 바라시는 투자금을 재산으로 지닌 자가, 젊은 사내 중에선 저 말고 없기 때문입니다.”",http://www.joara.com/premium_new/book_intro.html?book_code=1460846
폭군의 냥냥이,디버스대도서관,로맨스판타지,미제공,미제공,138,20/06/11,완결,http://cf.joara.com/literature_file/20200609_1723592814.jpg_thumb.png,"
“너한테서 맛있는 냄새가 나.”

“냥냥아.”
“애옹.”

나는 분명 폭군의 사랑스러운 고양이로 빙의했다.
그런데 왜 갑자기 드래곤이 된 거지?

“화이트 드래곤은 씨를 말려 버려야 해.”

하필 폭군이 노리는 드래곤……? 이게 설마 본모습인 거야?!

드래곤인 본체에서 고양이도 되었다가, 사람으로도 폴리모프 하는 휘연.
사람으로 변했을 때 폭군과 뜨거운 밤을 보내 버리고
결국 냥냥이 2세까지 갖고 마는데…….

사람들은 이렇게 말했다.

“황제는 제 아이를 배면 죽인다고 하더군.”
“……!”

화이트 드래곤인 걸 들켜도 죽고, 2세를 들켜도 죽는다!

도망가도 곧 잡히고 마는 가여운 묘생.
휘연은 과연 폭군 집사를 속이고 사랑받는 냥냥이로 살아남을 수 있을까?",http://www.joara.com/premium_new/book_intro.html?book_code=1460424
마신이 청혼하는 방법,알넘사,로맨스판타지,미제공,미제공,121,20/06/11,완결,http://cf.joara.com/literature_file/20200609_1724532610.jpg_thumb.png,"
마신이 계략남이라면?
계략남의 클래스가 완전 저세상급!

“후회 없는 삶이었나?”

마신이 물었다.
약혼자를 동생에게 빼앗긴 것으로 모자라 그들에게 죽임까지 당한 내게.

그런데 이게 무슨 일일까.
마신이 복수를 도와주겠다면서 몸을 되살려 주었다.
게다가 새 연인인 척 연기까지 해 준다니?

자신이 죽은 지 일 년 후, 모두의 앞에 다시 나타난 율리아나.
신이 뒤를 봐주니 무서울 것이 없다!

그런데…… 그의 도움으로 복수를 꿈꾸면서도 자꾸 이상한 기분이 든다.
대체 마신이란 존재가 왜 자신을 돕는 것이며, 난생처음 느껴 보는 사랑을 자꾸 퍼부어 주는 걸까?
머리는 수상하다고 외치지만 가슴은 거부할 수가 없다.

저기요, 마신이 이렇게 달콤해도 되나요……?",http://www.joara.com/premium_new/book_intro.html?book_code=1460425
내가 널 사랑할 때,류향,로맨스,미제공,미제공,79,20/06/10,완결,http://cf.joara.com/literature_file/20200610_1615236379.jpg_thumb.png,"
앞만 보며 달려온 탓에 연애 한 번 해 본 적 없는
S대 병원 응급 의학 전문의, 윤이영.
어느 날 친구의 권유로 나간 소개팅 장소에서
그녀는 뜻밖의 사람을 만났다.

S그룹 지주 회사의 본부장이자 S대 병원 이사장,
그리고 초등학교 6학년부터 고등학교 3학년까지
그녀와 남다른 인연이 있었던 동창, 차무열.

무려 13년 만에 마주친 그는 과거의 약속을 이행하라며
이영에게 폭탄 같은 말을 던지는데…….

“취소해.”
“뭘? 소개팅?”
“어.”
“말도 안 돼. 이제 약속 시간이 다 됐단 말이야.”
“취소하는 게 나을 거야. 나와 결혼해야 하니까.”
“누가?”
“네가. 네 인생을 걸고 내가 원하는 걸 들어줘야겠어. 나와 결혼하자.”

서른두 살에 맞이한, 결혼이라는 드라마틱한 전환점.
그것은 그녀, 그리고 그의 인생에 어떤 변화를 가져다줄까?


미리보기

“취소해.”
“뭘? 소개팅?”
“어.”
“말도 안 돼. 이제 약속 시간이 다 됐단 말이야.”

스스로 고개를 갸웃거릴 정도로 자연스럽게 말이 툭툭 튀어 나가고 있었다. 마치 어제 잘 가라고 인사하고 오늘 만난 사람처럼 말이다.
무열이 비꼬듯 입술을 피식거리며 말했다.

“취소하는 게 나을 거야. 나와 결혼해야 하니까.”
“누가?”

무열이 미간을 찌푸리며 말했다.

“네가. 널 만나려고 한 건 그거 때문이야. 네 인생을 걸고 내가 원하는 걸 들어줘야겠어. 나와 결혼하자.”

이영이 그를 빤히 쳐다보았다. 뭐지, 이 상황은? 뜬금없어도 이렇게 없을 수가 있을까? 이영이 그를 진정시키듯 차분한 어조로 말했다.

“우리 정말 오랜만에 만났어. 정확하게는 네가 날 본 거겠지만, 재미없는 장난이야.”
“장난 아니야. 그동안은 소원 찬스를 쓸 일이 없었는데 이제 달라. 네가 필요해. 약속 지켜.”

너무도 선명한 말에 이영은 그대로 멍해지고 말았다. 어디서부터 받아들여야 할지 모르겠다. 무열이 자리에서 일어나며 덧붙였다.

“보다 자세한 것은 한 시간 후에 이야기하자. 여기서 기다려. 세미나 참석하고 올 테니까.”
“차무열.”

무열이 그녀의 휴대폰을 가리키며 말했다.

“그 남자에게 전화해. 소개팅 취소라고.”",http://www.joara.com/premium_new/book_intro.html?book_code=1460644
마법사를 위한 동화,은소로,로맨스판타지,미제공,미제공,126,20/06/10,완결,http://cf.joara.com/literature_file/20200610_1501103063.jpg_thumb.png,"
노예의 낙인이 찍힌 채 
귀족가의 매 맞는 아이로 살아가던 소녀, 아즈릴.
힘겹게 이어지던 그녀의 삶 속에 하얀 남자가 들어왔다.

“왜 이렇게 살고 있는 겁니까?”
“저를 아시나요?”

잃어버린 3년의 기억 속에서 그녀에게 이름을 지어 준, 
지평선의 마법사. 레마 레쉬트.

친절하지만 뭔가 결여된 듯한 그의 모습이 눈길을 끌었다.
행복해진 만큼, 그녀도 그를 행복하게 해 주고 싶어졌다.

“저와 가까워질수록 당신은 불행해질 겁니다.”
“불행해지지 않을게요, 레마. 그러니 제게 마법을 가르쳐 주세요.”

어떤 끝을 맞이할지는 알 수 없지만
아즈릴은 레마의 진실을, 그리고 진심을 알기 위해 
기꺼이 그와 함께하기로 한다.
행복한 동화 같은 결말을 위해서.",http://www.joara.com/premium_new/book_intro.html?book_code=1460631
