title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
배덕 황후,고요(꽃잎이톡톡),역사/시대물,크레센도,19세 이용가,113,2020.01.24.,미완결,//img.ridicdn.net/cover/2901002189/xxlarge,"가족을 지키기 위해 이름을 바꾸고 늙은 황제와 혼인했다.
늙은 황제는 날 품지 않았고,
나는 그의 손자인 황태손에게 욕정을 풀었다.

황후와 황태손의 밀애.
그 배덕한 관계에, 끝은 정해져 있었다.
그렇기에 더욱 애달프고 달콤했다.

“공후, 공후……. 아직 부족하오.”
“소손의 이름을 부르지 마십시오.”
“아…….”
“쾌락만을 추구하는 관계에 이름을 부르게 할 순 없습니다.”

알고 있습니다. 꿈일 뿐이란 걸.
불가능할 걸 알면서, 또 그렇게 욕심을 냅니다.
그저 안아만 주세요. 오늘이 마지막인 양.
그렇게 사랑해 주세요.",https://ridibooks.com/books/2901002032
더티스캔들,진소예,현대물,윤송스피넬,19세 이용가,66,2019.10.28.,완결,//img.ridicdn.net/cover/2369004388/xxlarge,"제가 아버지께 팔아넘기려 했던 여자에게, 가눌 수 없이 흔들리기 시작했다.

***

“꿈에선 묶일 수 있을 것도 같은데…. 자국을 내도 좋고 함부로 대해도 돼요. 언니가 그러더라고요. 미친놈한텐 미친놈이 답이라고. 내가 아는 미친놈 중에… 그쪽보다 더한 놈은 없어서.”

붉은빛이 스민 재현의 눈동자가 가늘게 접힌 눈꺼풀 사이로 숨어든다.

“묶어도 좋아요. 얼마든지.”

내리 깔려있던 그녀의 긴 속눈썹이 들린다. 젖어버린 눈동자가 그의 시선을 사로잡았다.
여자는 분명 깨어있었다. 잠에 취한 척하는 것일 뿐. 그 모습은 밤새 영상 속에서 자신을 괴롭혔던 것과 닮아있었다.
재현이 굳어있는 사이, 그녀는 움켜쥔 그의 손을 블랭킷 안으로 이끌었다. 그러곤 얇은 슬리브리스 잠옷 위를 쓸어내리는가 싶더니, 몸을 웅크리며 팬티 속으로 밀어 넣었다.
차가운 가죽이 체온에 비벼져 금세 축축해지기 시작한다.
비이성적 상황. 어금니를 눌러 문 재현은 반대쪽 손으로 그녀의 턱을 잡았다. 단 한 번도 느껴본 적 없던 충동. 입속 점막의 뜨거움을 만끽하고자 하는 갈망이 그를 움직였다.

“벌려.”

-본문 中-",https://ridibooks.com/books/2369004388
몽중연,에이비,판타지물 역사/시대물,로즈엔,19세 이용가,100,2019.12.30.,완결,//img.ridicdn.net/cover/2729000002/xxlarge,"태자 이연이 전장에 나간 사이, 집안이 역모죄로 다스려져서 냉궁에 유폐된 폐태자비 심서혜.
그녀는 냉궁에 들어온 뒤로 기묘하고 현실감이 넘치는 꿈을 계속 이어서 꾸게 된다.

또 꿈이군요. 이 꿈은 늘 제게 곤란합니다.

그녀의 꿈속에서 태자 이연은 공명정대하지만 냉철한 황제가 되었고,
그녀는 제 지아비였던 황제의 '아이'가 된다.

꿈속에서 열두 살 난 황녀가 되어 살아가는 '심서혜'.
꿈 밖 현실에서 벌어지는 일들은 꿈속에 펼쳐지는 미래에 영향이 가게 되고….

한 치 앞을 알 수 없는 궁중 암투 속,
서혜는 태자 이연에 대한 사랑 하나로 꿈과 현실에서 계속되는 운명을 헤쳐 나간다.

일러스트: 녹시",https://ridibooks.com/books/2729000002
파보르 (favor),완전천재,현대물,모먼트,19세 이용가,88,2019.11.22.,완결,//img.ridicdn.net/cover/3864000332/xxlarge,"“소담이, 내 아이니?”
“아니.”
선우의 눈이 가늘어졌다.
“정말 아니야?”
“아니야.”
승아는 단단했고 냉정했으며 차가웠다. 바싹 마른 입술을 축인 선우가 으르렁거렸다.
“그 말. 책임질 수 있어?”
“책임 안 지면 어쩔 건데. 반선우 씨. 정신 똑바로 차려. 소담이가 왜 선배 아이라고 생각하는지 모르겠지만, 아무런 상관 없는 아이야. 그리고 선배의 이런 관심과 집착. 사절이야.”
승아가 몸을 돌리자 저도 모르게 선우가 외쳤다.
“그날! 이상할 정도로 맞아떨어지잖아. 내가 바보인 줄 알아?”
뒤로 돌아보지 않은 승아가 걸으며 오른손을 올렸다. 가운뎃손가락을 치켜든 그녀의 대답은 확고했다. 승아가 사라지자 선우가 이를 사리물었다. 잡아뗄 줄은 짐작했지만, 막상 그러자 눈이 돌 것만 같다.
“오승아. 너 사람 잘못 봤어. 내가 포기할 것 같아?”
그의 눈에서 불길이 활활 타올랐다.",https://ridibooks.com/books/3864000332
낯선여름,진소예,현대물,윤송스피넬,19세 이용가,66,2020.05.04.,완결,//img.ridicdn.net/cover/2369004603/xxlarge,"*본 도서에는 등장인물들의 트라우마를 드러내기 위한 강압적인 행위와 동성애와 관련된 내용 등이 포함되어 있습니다.



그가 박혀 들어올 때마다 그녀의 세상은 몇 번이나 뒤집히길 반복했다. 질척한 소릴 내며 살이 부딪친다. 몸이 반으로 쪼개지는 것 같았으나, 할 수만 있다면 그를 완전히 삼켜버리고 싶었다.
생경한 둔통과 눈앞을 하얗게 만드는 절정이 밀려든다.
씨근덕거리는 숨소리에 뒤섞인 욕설. 지금, 이 순간만은 그가 누구든 상관없었다.

그저 이 순간을 방해하는 이가 없기를. 짧은 짝사랑의 끝이 부디 허무하지 않기를. 남자가 건넨 동정심을 주워 먹은 몸뚱이가 제발 무사하기만을 바랐다.",https://ridibooks.com/books/2369004603
악마가 나를 부르면,정애,판타지물,라렌느,19세 이용가,65,2020.05.08.,미완결,//img.ridicdn.net/cover/297029050/xxlarge,"'루벨란'


어느 날 갑자기 아카데미에 나타난 존재.
이상하게도 라엘을 제외한 전교생 모두가 그를 안다. 


'절대 저것과는 엮이지 말자.'


…그런데 어째서 이렇게 되었을까.


“말해봐요. 나랑 키스하면 어떤데?”
“…이상해져. 몸이.”


그로 인해 라엘의 잔잔하던 일상이 깨져버렸다.
아카데미 또한, 그가 나타난 후로 사건사고가 끊이지 않았다.


“…네가 사람들을 죽인 거야?”
“우리 사이에 믿음이 부족하네요.”
“정말, 아니라고?”
“내가 여기서 누굴 죽였다면 아마 그 시작은 선배였을 거예요.”


결국 모든 진실을 알게 됐을 때, 라엘은 스스로 그곳을 떠날 수밖에 없었다.
악마를 동정한 대가로.


*


""반가워요, 선배.""

3년 후. 질긴 악연이 되살아났다.",https://ridibooks.com/books/297028337
약탈혼,사하,판타지물,필연매니지먼트,19세 이용가,131,2020.02.17.,미완결,//img.ridicdn.net/cover/2259003660/xxlarge,"결혼식을 앞두고 유서를 작성했다.
첫날밤을 치른 후 죽어버릴 것이기 때문이었다.

평생 나라를 위해, 그리고 왕실을 위해 헌신한 왕녀의 비참한 최후였다.
목숨을 내버리기 전에, 레아는 왕실을 향한 마지막 복수를 계획했다.
순결하지 못한 새신부가 되는 것이었다.

“왜 첫 경험을 내다버렸지? 도망치고 싶진 않나?”
“나는…… 죽고 싶어.”

하룻밤 상대이기에 충동적으로 털어놓은 말이었다.
그렇게 끝날 인연이라고 생각했다.
전혀 생각지도 못한 곳에서 다시 만나기 전까지는.

그는 질서정연하던 일상을 침식해나갔다.
위험한 관계임을 알면서도, 레아는 그를 거부할 수 없었다.
도대체 저 남자는 무슨 생각을 하고 있는 것일까.

“기억 안 나?”

남자는 사납게 웃으며 말했다.

“내가 네 인생 망쳐주겠다고 했잖아.”",https://ridibooks.com/books/2259002758
가짜 성녀는 퇴장을 기다린다,백설홍,판타지물,로즈엔,19세 이용가,153,2019.07.19.,완결,//img.ridicdn.net/cover/3678000001/xxlarge,"죽기 전 읽었던 책 속으로 들어왔다.
여주인공 이리스를 괴롭히던 책 속의 악역, 타락한 성녀인 이벨리나의 몸으로.

2년 후에 화형당해 죽을 운명인 이벨리나.

그렇게 죽을 수는 없었다.

지금이라도 노력해서 잘못을 수습하고 이벨리나를 죽음으로 내모는 남자주인공들과 원만한 관계를 만들어나가면 살아남을 수 있지 않을까.

그러나 일은 뜻대로 흘러가지 않고, 몸의 주인인 이벨리나는 계속해서 이 몸에 남고 싶으면 자신이 시키는 대로 하라며 말도 안 되는 조건을 내건다.

타의에 의해서, 때로는 자의에 의해서
책 속의 남자주인공들과 관계를 맺으며 살아남기 위해 노력하는데….

***

잘 알고 있다.
모두가 내가 ‘성녀’이기에 잘 대해 주고 있다는 사실을.
그러니 이제 곧 내가 성녀가 아니게 되는 순간이 오면 이 모든 관계가 끝난다는 사실도.

일러스트: SUKJA",https://ridibooks.com/books/3678000001
비비안의 사정,몽슈,판타지물,라렌느,19세 이용가,119,2019.08.16.,완결,//img.ridicdn.net/cover/297024339/xxlarge,"제국의 유일한 정령술사, 비비안.
정령술을 익히기 위해 유학 간 땅에서 홀연히 꿈에 나타난 사내와 3년간 낯뜨거운 정사를 벌인다.
유학이 끝나 귀국하면서 꿈속의 섹스파트너와도 작별일 줄 알았는데.

“아, 아버지. 폐하의 뒤에 계신 분은… 누구시죠?”
“누구 말이냐? 아아, 오르페우스 경 말이더냐?” 
“네? 오, 오르페우스 경이요?” 

그가 말로만 듣던 그 ‘미친개’ 로제르 오르페우스 경이라고?
만날 때마다 어쩌지?
아니지. 앞으로 만날 일도 없을 텐데, 뭘.


그러나 비비안의 착각을 비웃듯 둘은 점차 엮이게 된다.

“괜찮습니까? 영애.”
“아…….”
“……곤란한 것 같아서.”

현실에서도, 

'존댓말로 그런 말 하는 거, 존나 꼴리는 거 알고 하는 거지?'
'읏, 로제르, 천천히…….' 
'잠시만 내 이름 부르지 마. 지금 듣다가는 눈 돌아 버릴 것 같으니까.'

꿈에서도.",https://ridibooks.com/books/297024339
불온한 결속,요안나(유아나),현대물,봄 미디어,19세 이용가,68,2020.03.18.,완결,//img.ridicdn.net/cover/1629002602/xxlarge,"“언제나 고민하면서 살았거든요. 
그런데 살면서 유일하게 고민을 안 한 게 상무님이에요.”
과거 상처로 자신을 잃어버린 그녀, 고설하.

“만약 끝까지 간다면? 평생 같이 살 생각까지 한다면?”
고점과는 거리가 먼 삶을 살기 위해 노력한 그, 기태오.

그녀가 원한 단 하나의 조건, 
2년 전 태오가 약속한 꼭대기에 함께 서자는 것.

“말로 할 때는 얼렁뚱땅 약속 지키겠다고 해 놓고, 
막상 문서로 남기려니 두려우세요? 약속 못 지키실까 봐?”
“결국 이 계약으로 내가 얻는 건 섹스밖에 없는 건가?”

태오는 한쪽 입꼬리를 일그러뜨리며 웃음을 머금었다. 

“제 능력을 폄훼하시는 발언은 삼가세요. 
상무님께서 얻는 건 누구보다 훌륭한 보좌 능력을 갖춘 비서인 거죠.”

심장이 그 어느 때보다 빠르게 뛰었다.
하지만 확실히 해 두어야 했다. 
그는 제가 온전히 가질 수 있는 부류의 사람이 아니었다. 

‘영원히 닿지 못할 거라면, 깊게 새겨지기를.’
어느 한 사람조차 절대 놓지 못할 그들의 불온한 결속.",https://ridibooks.com/books/1629002602
