title,genre,author,complete,img_src,age,total,pub_date,publisher,intro,href
내 상태창 2개,"현대판타지,  퓨전","
염비

",완결,//cdn1.munpia.com/files/attach/2018/0629/002/2ByXC7Kp6zKXeYNN.jpg,전체이용가,240 회,2018.06.29 17:00,정보 없음,"헌터 세계가 된 지 일 년, 갑자기 각성했다.
근데 상태창이 한 개 더 있네? 
거기에 공략집?


[성장물] [헌터물] [이세계물] [시스템1+1]",https://novel.munpia.com/118130
라스트 콘스탄틴,현대판타지,로드타찬카,완결,//cdn1.munpia.com/files/attach/2018/1023/003/gt0NeVWplR9L201d.jpg,전체이용가,255 회,2018.11.16 12:00,정보 없음,"짐승에겐 없는 예의를 아는 자들.
뚜렷한 목표를 위해 몸을 내던지는 자들.
또 다른 역사의 뒤편으로 바스러질 운명을 지닌 자들.

최후에 홀로 선 것은 단 한 명의 콘스탄틴이었다.",https://novel.munpia.com/131653
온 에어(on air) 고종,"현대판타지,  대체역사","
가베

",완결,//cdn1.munpia.com/files/attach/2019/0212/004/AXPHiR92pqXSYxYX.jpg,전체이용가,150 회,2019.01.11 17:00,정보 없음,"헬조선에서 헬을 벗어나기 위해서 노력하던 명진.
아르바이트 중 손님이 휘두른 맥주병에 맞고, 정신을 잃는다. 
그리고 깨어난 명진은 이명복, 고종이 되어 있었다. 

영혼들의 도움으로 헬조선.
그놈의 헬조선을 천조국으로 만들 거다!",https://novel.munpia.com/130712
"노비가 된, 혈마님","무협,  퓨전","
유자인

",완결,//cdn1.munpia.com/files/attach/2019/0226/002/4LE8OXLY6Pj8pAfF.jpg,전체이용가,139 회,2019.03.07 10:00,정보 없음,조용히 살고 싶었는데 삶이 복잡해졌다.,https://novel.munpia.com/136546
역린,무협,범향,완결,//cdn1.munpia.com/files/attach/2019/0429/003/i9pt5U27TYivm46V.jpg,전체이용가,175 회,2019.05.03 09:30,정보 없음,"역린(逆鱗)!
용의 턱밑에 거꾸로 솟은 비늘이다.
피의 원한을 남긴 자. 갑절의 피로 그 혈채를 되받으리니...

떠올릴 수 있는 과거는 온통 차가운 빛이었다.
기억의 가장 밑바닥에 남아 있는 잔상(殘像)은...
오랑캐의 창에 꿰여 목숨을 달리하던 아버지의 신음 소리.
그리고 시린 눈밭 위를 칼날을 피해 내달리고 있던 자신의 모습이었다.

보이지 않는 어두운 길.
살아간다는 것은, 열 살을 갓 넘은 청유에게는 너무나 무거운 짐이었다.

삶의 길을 열어주고 목숨을 잇게 해준 고마운 은인이자,
사라진 나라 발해의 무장인 고휘에게 삼 년을 수족으로 살겠다고 약조하였다.
그 삼년지약(三年之約)의 시간도 그리고 약조가 슬피 사라진 역린의 세월도... 모두 시린 칼날 위에 머물고 있었다.",https://novel.munpia.com/155318
삼국지 헌제전[獻帝],"대체역사,  판타지","
운좋은놈

",완결,//cdn1.munpia.com/files/attach/2018/0705/004/0apMnongAlmX7vbZ.jpg,전체이용가,101 회,2018.08.08 18:00,정보 없음,"“당신이라면… 가능할 겁니다. 그 누구보다도 무자비하고 냉철한 사람이니까. 그러니 부디… 이 난세를, 이 한(漢)을 구원해 주십시오.”

작은 울림이 내 머릿속을 울린다.
그리고 잘게 떨리는 서글픈 목소리가 흐릿하게 내 뇌리에 박혔다.

“신이시여….”

후한(後漢) 마지막 황제, 헌제 유협. 눈을 뜨니 난 그 비루한 허수아비가 되어 있었다.",https://novel.munpia.com/115372
2068 스페이스콜럼버스호,"퓨전,  SF","
춘객

",완결,//cdn1.munpia.com/files/attach/2018/0615/001/1NXfXZ5BC01tAgCj.jpg,전체이용가,209 회,2018.07.09 11:30,정보 없음,"이글은 SF+무협+판타지입니다.
2068년 인간이 살 수 있을 것으로 추정되는 새로운 행성을 향해 우주선이 떠났습니다.",https://novel.munpia.com/112711
은둔형 마법사,"현대판타지,  퓨전","
후로스트

",완결,//cdn1.munpia.com/files/attach/2019/0725/002/KwAA6emgL6YAvyqQ.jpg,전체이용가,350 회,2017.08.07 18:30,정보 없음,집 밖은 위험해.,https://novel.munpia.com/86621
낭만 마법사,판타지,송담,완결,//cdn1.munpia.com/tpl/novel/core/covers/fantasy-22.jpg,전체이용가,119 회,2015.11.06 13:40,정보 없음,"대한무역 영업과 2년차 사원 소심남 나태석. 마법의 피를 수혈받고 물과 불을 다루는 마법사가 된다. “내가 바로 물총의 최강자 나태석이다!” 그는 계약한 샘플에 우연히 떨어진 물방울로 인해 대박을 터트리고, 자신의 회사를 차리며 승승장구하는데……! 생활 속에서 낭만을 찾는 마법사 나태석의 멋진 여행! 낭만 마법사!",https://novel.munpia.com/45290
죽음의 기사.,"판타지,  퓨전",고샅,완결,//cdn1.munpia.com/files/attach/2019/0419/001/lAKeIZST2GL3U1XN.jpg,전체이용가,210 회,2019.04.24 10:00,정보 없음,"마물의 습격에 부모를 잃고 세상에 던져진 빈센트
우연한 기회, 정체 모를 열매 하나로 그의 삶은 송두리째 뒤바뀌고
마물의 숲에서 온몸을 내던진 결과 
찢기고 베이고 부서져, 강해져서 돌아온다!

자유 기사가 된 빈센트를 노리고 접근하는 권력자들! 
그 안에서 ‘아넬키스트의 유물 쟁투’에 휘말려 든 빈센트!

거역할 수 없는 투지로 전화를 잠재울 죽음의 기사!
독기 가득한 그의 불타는 전진이 시작된다!",https://novel.munpia.com/154292
