,title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,joara
10,닥터 퀸,(이지환),로맨스,미제공,미제공,104,20/06/30,미완결,http://cf.joara.com/literature_file/20200623_1800448125.jpg_thumb.png,"
[정형외과 윤지수의 금수저 스토커에 대한 올바른 사용설명서.] 

깡과 끈기, 독기와 성실성으로 완전무장!
가야병원 정형외과 사상 유일한 여성 전공의 2년차에 접어든 닥터 퀸, 윤지수. 

공학박사 학위를 가지고도 도시농부가 꿈인 엉뚱하고 자유로운 영혼! 
그러나 알고 보면 금수저를 넘어선 다이아몬드수저, 유 강. 

바람 잘날 없는 두 사람이 만나 불러온 것은 사랑의 폭풍일까, 파란의 시작일까?!",http://www.joara.com/premium_new/book_intro.html?book_code=1464076
11,황제가 결혼하자고 협박한다,(김금율),로맨스판타지,미제공,미제공,78,20/06/30,미완결,http://cf.joara.com/literature_file/20200624_0948186207.jpg_thumb.png,"
“결혼하든가 아님, 죽든가.”

황제의 정체를 알았다는 이유만으로 결혼을 강요받게 된 피폐 소설 여주 ‘샤미’로 눈을 떴다.
하필이면 비극이 시작되는 딱 그 순간에!
내가 살 길은 원작 남주가 반란을 일으키기 전에 그와 헤어지고 황제를 피해 튀는 것뿐이라 생각했다.

“평범한 남매로 돌아갔으면 합니다. 오라버니.”
“평범한…… 남매?”
“……네.”
“우리가 언제 평범한 남매였던 적이 있던가. 언제를 말하는 거야. 어느 날 갑자기 어머니께서 널 데려온 그 날? 네가 날 처음으로 오라버니라 부른 그 날?”
“오라……버니?”
“너와 나는 단 한 번도 남매였던 적이 없어. 그렇지, 샴?”

피가 섞이지 않은 남매이자, 오리헨의 최고 기사 단장인 그는 결별을 원치 않았다.
그렇게 원작 남주인 ‘레오’와 헤어지려는 계획은 와장창 일그러진다.
거기다 믿을 수 없게도, 황제에게 빙의했다는 사실을 들키고 마는데.

“역시…. 그랬군. 내 착각인 줄 알았는데.”
“......?”
“넌 누구지?”

그런데 분위기가 심상찮다!?

“너를 욕하는 자들은 모조리 없앨 거야. 그런 것들은 내 나라에 필요 없거든. 아, 그 반대도 마찬가지. 너를 사랑하는 자들도 죽일 거야. 그 또한 기분 나쁘거든.”
“…….”
“오늘은…… 그래, 경고한 거지. 입들 조심하라고.”

무심한 설정의 원작 조연이 내게 집착하기 시작했다.
이 소설의 결말은 어떻게 될까……?",http://www.joara.com/premium_new/book_intro.html?book_code=1464078
12,너를 가지다,Hei,로맨스,미제공,미제공,95,20/06/30,미완결,http://cf.joara.com/literature_file/20200623_1808305376.jpg_thumb.png,"
“그거, 네 아이디어냐고!”
“응. 내 거 맞아. 왜? 맨날 너한테 지기만 하다가 너보다 잘하니까 약이 오르니? 배 아파 죽을 거 같아?”

두 달 동안 잠도 못 자고 자신의 모든 것을 쏟아부었던 프로젝트.
그것을 뺏기는 시간은 그리 길지 않았다.
동료에게 아이디어를 빼앗기고 설재아는 스페인으로 도망치듯 떠난다.

스페인에서 홀가분한 나날을 보내던 어느 날 소매치기를 잡게 된 재아.
그 소매치기가 훔친 것은 스페인 최고의 호텔 대표 이안의 가방이었다.
그렇게 두 사람은 인연을 맺게 된다.

“빨리 끝내고 싶죠? 그럼 이 중에 하나 골라요. 가방을 받던지, 아니면 저랑 저녁식사 한 번 하고 말던지 고르세요.”

그 이후로 자꾸 재아가 신경 쓰이는 이안.
계속 그녀에게 직진해가기 시작한다.

언제나 신중한 재아는 그에게 향하는 마음을 붙잡으려 애쓰고,
이안은 보란 듯이 마음의 문을 열어간다.

그녀의 마음의 문은 과연 열릴까?",http://www.joara.com/premium_new/book_intro.html?book_code=1464080
13,타임리스 타임,박미정,판타지,미제공,미제공,302,15/04/18,미완결,http://cf.joara.com/literature_file/20150828_001437.png_thumb.png,"
생과 사의 중간에 있는 망량 유진과, 수명을 대가로 시간을 되돌려주는 사신(死神) 이안의 시간의 계약 이야기. ",http://www.joara.com/premium_new/book_intro.html?book_code=990753
14,비서실격,비향,로맨스,미제공,미제공,75,20/06/26,미완결,http://cf.joara.com/literature_file/20200616_1419006724.jpg_thumb.png,"
김미영.
평범한 이름.
평범한 체격.
평범한 집안.
평범한 스펙.
그녀는 모든 것이 평범했다.

그런 그녀가 전직 모델 출신이자 태양그룹의 후계자인 패션사업부 실장 이시우의 비서가 된다?
이시우의 비서가 된 이유 또한 그 평범함에서 왔다?
평범한 김 비서의 좌충우돌 비서기!

“아무래도 저는 비서로써 실격 같습니다.”
“맞아. 김 비서는 비서로써 실격이 확실해.”
“그래서, 비서 말고 다른 걸 해보려고요.”
“좋아. 비서 말고 다른 걸 하지.”
그의 손이 미영의 뺨으로 향했다.
“나의 여자가 되어 보는 건 어때?”
“기꺼이.”",http://www.joara.com/premium_new/book_intro.html?book_code=1462089
15,못난이 콤플렉스,은WOO,로맨스,미제공,미제공,91,20/06/26,미완결,http://cf.joara.com/literature_file/20200623_1914424314.jpg_thumb.png,"
“내가 너 좋아한다고.”

박준우, 전교 1등에 외모 또한 뛰어나 모든 여학생의 워너비인 그가 고백을 해 왔다.

‘나를 좋아한다고? 왜? 너처럼 인기도 많고 공부도 잘하는 애가 왜 하필이면 나를?’

나는 예쁜 외모도 아니고, 눈에 띄지도 않는 평범한 고등학생일 뿐인데…. 
아진은 준우의 고백이 얼떨떨하기만 하다.

게다가 늘씬한 몸매에 예쁜 외모까지 여느 걸그룹보다 더 예쁜 초희까지도 널 좋아하는데 도대체 왜?

초긍정 발랄한 고2 소녀 아진과 무뚝뚝하지만 아진에게만큼은 츤데레 같은 준우의 귀염뽀짝 사랑 성장기.",http://www.joara.com/premium_new/book_intro.html?book_code=1464091
16,찬란한 바다의 비밀,대본깡패,로맨스,미제공,미제공,113,20/06/26,미완결,http://cf.joara.com/literature_file/20200623_1928267547.JPG_thumb.png,"
“내 이름은 인공주입니다…….” 
인공주는 습관처럼 꼬리지느러미를 보며 중얼거렸다. 
꽃잎이 흩날리고 태풍이 불고 낙엽이 흩날리며 눈이 내려도 언제나 노을이 질 때까지 그곳에 있었다.  

“내…… 이름은 인공주입니다…….”
7년이 지났지만 인공주는 여전히 그를 기다리고 있었다. 
그녀의 얼굴은 생기라고는 찾아볼 수 없는 무기력한 모습으로윤기와 화려한 빛깔이 모두 사라진 꼬리지느러미를 원망스레 쳐다보며 말했다. 

“나에게도 다리가 있었다면 육지로 가서 그 사람을 찾을 수 있을 텐데…….” 

결국,7년의 인고의 세월을 보내고.. 
그녀는 사람이 되어 사랑하는 사람을 찾아 나선다. 

모든 기억을 잃은 채로…….",http://www.joara.com/premium_new/book_intro.html?book_code=1464097
17,봄의 연인,불바다,로맨스,미제공,미제공,58,20/06/26,미완결,http://cf.joara.com/literature_file/20200624_2223327541.jpg_thumb.png,"
화목한 가정에서 자라 사랑을 주는 것과 받는 것이 익숙한, 언젠가 다가올 사랑을 기다리는 봄.
어머니에게 버림받은 상처로 인해 사랑을 믿지 않는 인호.
그런 그에게 그녀는 처음 맞는 봄이었다. 
봄과 인호의 잔잔한 힐링 로맨스. 
",http://www.joara.com/premium_new/book_intro.html?book_code=1464394
18,버림받은 왕녀 스칼렛,하현달,로맨스판타지,미제공,미제공,93,20/06/26,미완결,http://cf.joara.com/literature_file/20200624_2226562744.jpg_thumb.png,"
처음에는 단지 관심을 받고 싶었을 뿐이었다. 황궁에 데리고 왔을 뿐 나를 버려둔 제국의 황제라는 아버지와 사람들이 나를 봐줬으면 하는 그런 바람……. 하지만 전부 부질없는 짓이었다.

욕심을 부렸다. 사치를 부렸고, 매질하였다. 계단에서 밀쳐내 하녀를 죽게 했고, 아카데미에서는 후작가의 영애를 괴롭혀 끝내는 죽이거나 죽게 했다. 
또한, 아버지인 황제를 독살하려고 했다는 모함과 가짜라는 오명을 쓰고 결국 사형장에서 처형당했다. 

‘나에게 다음 생이 있다면 다시는 당신을 좋아하지 않을 거야.’

그런데 눈을 뜨니 나는 황궁에 들어온 지 4년 후, 내가 죽기 9년 전인 12살 때로 돌아와 있었다.",http://www.joara.com/premium_new/book_intro.html?book_code=1464397
19,성녀는 악마를 소환합니다,(연다옴),로맨스판타지,미제공,미제공,113,20/06/24,미완결,http://cf.joara.com/literature_file/20200622_1509187992.jpg_thumb.png,"
“앨리네스 잔 루치아. 대악마인 당신과 계약을 원합니다.”

수많은 후회 속에서 복수를 다짐하며 성녀가 되기 1년 전으로 회귀하였다.
웬리는 드디어 벨제를, 악마를 소환하는 데 성공했다.

“하, 재미있군. 내가 어떤 조건을 제시할 줄 알고?”
“뭐든요. 뭐든, 드릴 수 있어요. 당신과 계약만 할 수 있다면요.”

그러나, 언제나 그녀를 볼 때면 서려 있던 다정함은 온데간데없이 그의 눈동자는 여전히 삭막하기 그지없었다.

과거의 기억도, 아픔도, 사랑도 모두 안고 돌아온 건 자신뿐이었다. 
그는 그녀를 기억하지 못했다.

“……웬리. 웬리라고 불러주세요. 당신은 나를 그렇게 불렀어요.”
“우리가 과거에 만난 적이… 있나?”

그런데, 왜 당신은 아무것도 기억하지 못하면서 그렇게 다정한 눈으로 날 바라보는 걸까.

**

“왜요? 내가 신경이 쓰이나요? 나를…….”

벨제가 자신의 큰 손바닥으로 얼굴을 쓸어내리며 노골적인 한숨을 내쉬었다. 
그에 웬리가 몸을 움찔 떨었다. 하지만 물기 어린 연하늘빛 눈동자만큼은 당당함을 잃지 않고, 빛이 났다.
그 눈은 지독하게 사랑스러웠다. 당장이라도 피곤함에 움푹 팬 저 두 뺨을 잡고, 입술을 맞대고 싶을 정도로. 

“뭔가 오해를 한 모양이군. 나는 그런 뜻으로 한 말이…,”
“그런 말로 넘어가려 하지 말아요. 이미 봐버렸으니까.”


[#회귀물 #후회물 #성장물 #성녀여주 #무심녀 #걸크러시 #악마남주 #집착남 #벤츠남]",http://www.joara.com/premium_new/book_intro.html?book_code=1463737
