title,author,genre,publisher,age,total,pub_date,complete,img_src,intro,ridibooks
역대급 집사,소수림,판타지,(주)마야마루출판사,전체 연령가,175,2017.03.13.,완결,//img.ridicdn.net/cover/2200017043/xxlarge,"“나는 네가 이곳의 집사를 맡아주었으면 한다.”

은인을 위해 모든걸 내려놓은 그에게 
갑자기 머리속에서 들려온 한마디


-집사 프로젝트가 동기화되었습니다.


외모, 학벌, 능력 모든것이 완벽한 그 남자 한성!

세상 최고의 역대급 집사 프로젝트가 시작된다!",https://ridibooks.com/books/2200017043
그땐 득템인 줄 몰랐다,마검,현대판타지,(주)마야마루 출판사,전체 연령가,222,2017.09.15.,완결,//img.ridicdn.net/cover/2200011181/xxlarge,"2009년 출간이 되었던 [기갑신기]의 개정판!!!!

생활비를 위해 하루하루 전전긍긍하는 다크 게이머 야크!
3개월간 죽을만큼 고생하고 클리어한 퀘스트 보상이 큐브 쪼가리?

“그거 절대 안 열리네. 그래서 주는 것이니 감사해하라고. 크하하하!”

이런 망할영감쟁이!!!!
그런데 큐브에 내 손이 닿는 순간, 이상한 일이 벌어졌다.

「고대 마도 병기 ‘기간테스 다크’의 주인이 되셨습니다.」
""아니? 이게 웬 초대박이냐!!!""

돈만 밝히는 수전노 야크와 그의 듬직(?)한 기간테스 다크의 
발랄한 돈벌기 여행이 시작된다!!",https://ridibooks.com/books/2200011181
강적,왕형,현대판타지,(주)마야마루 출판사,전체 연령가,275,2017.08.29.,완결,//img.ridicdn.net/cover/2200010875/xxlarge,"나는 형사다.
후줄근한 티셔츠에 낡은 청바지 그리고 운동화를 무기 삼아 거리를 누빈다.
힘들어도 지쳐도,
오늘도 범인을 쫒는다.
나쁜 놈 잡는 게 형사가 할 일이니까.",https://ridibooks.com/books/2200010875
도박 중독자,블루피스,현대판타지,(주)마야마루 출판사,전체 연령가,155,2017.08.28.,완결,//img.ridicdn.net/cover/2200010758/xxlarge,"도박으로 돈을 벌 수 있는 사람이라면, 잃지도 않는다.

한 해 100조 원에 가까운 불법 스포츠 도박의 세계.
이런 엄청난 시장은 과연 어떻게 생겨났으며,
돈을 버는 자들은 누구인가?

스포츠 경기 베팅에 있어 필요한 네 가지.
정확한 분석, 베터의 촉, 경기 흐름을 보는 눈, 그리고 절제력.
이 중에서 제일 중요한 것은
자신이 정한 금액 내에서만 베팅하겠다는 ‘절제력’.
이걸 놓치는 순간,
토토 사이트 운영자, 일명 ‘토사장’의 먹이가 된다!",https://ridibooks.com/books/2200010758
펜타월드,주현우,현대판타지,(주)마야마루출판사,전체 연령가,264,2017.08.18.,완결,//img.ridicdn.net/cover/2200010407/xxlarge,"쿵!
하고 많은 차중에 왜 하필이면 람보르기니야!

갑작스러운 사고와 함께 찾아온 능력.
그리고 세상을 구해야하는 의무까지.

버스운전기사는 세상을 구하면 안 돼?
엑셀 끝까지 밟아!

이계를 넘나들며 활약하는 남자.
포기하지 않는 흙수저 박철웅의 유쾌한 이계 정복기.",https://ridibooks.com/books/2200010407
만렙 용병 회사,둘라둘라,현대판타지,(주)마야마루출판사,전체 연령가,150,2017.07.03.,완결,//img.ridicdn.net/cover/2200009474/xxlarge,"공시족 5년차 김기한!
시험을 포기한 그는 낡은 전파사에서 옛 콘솔게임 신탁의 대전사를 구입해, 치트 프로그램으로 1레벨에서 10,000레벨을 만든다.

그리고 최종 보스를 죽인 그에게 들려온 낯선 메시지!
[포탈이 열립니다.]

그 후 포탈이 존재하며, 각성자들이 사는 지구로 옮겨 오는데…….

그곳에서 강화계 S급이 된 기한의 새로운 삶이 펼쳐진다!",https://ridibooks.com/books/2200009474
무림에서 온 플레이어,박종화,현대판타지,(주)마야마루출판사,전체 연령가,249,2017.05.22.,완결,//img.ridicdn.net/cover/2200006163/xxlarge,"혈교의 교주 사마천 진명.
그가 거대 길드 헤인스의 무능공자라 불리는 김진명이 되었다.

그런데 세상이 좀 이상하다?
던전은 뭐고 필드는 또 뭐냐.
게다가 몬스터?

[수라혈마공을 익히고 있습니다. 힘이 강해집니다. 민첩이 상승합니다. 바이탈이 상승합니다. 오감이 발달합니다.]",https://ridibooks.com/books/2200006163
세상은 넓고 맞을 놈은 많다,정현,현대판타지,(주)마야마루출판사,전체 연령가,161,2016.11.07.,완결,//img.ridicdn.net/cover/2200005397/xxlarge,"다 꿇어!

세상을 구하는 히어로는 아니지만,
더러운 세상 깨끗이 청소하자.

안 되겠다! 좀 맞자!

말로 해서 안 되면
주먹으로 다스릴 수밖에.

흑마법사의 마력으로,
전사의 파워로
악의 무리를 클리어한다!",https://ridibooks.com/books/2200005397
퍼펙트 마이스터,서야(書夜),현대판타지,(주)마야마루출판사,전체 연령가,156,2016.08.26.,완결,//img.ridicdn.net/cover/2200004981/xxlarge,"환생의 끝없는 수레바퀴 속…
언제 이것이 시작되었는지는 모른다.
다만 전생의 모든 기억을 가지고 생을 시작할 뿐.

그런 존재가 이번엔 대한민국의
귀머거리, 벙어리 김춘추로 다시 태어났다.
과연 이번엔 어떤 새로운 역사를 쓸 것인가!

대한민국 정·재계를 넘어
전 세계와 차원을 넘나드는 대서사시!
과거와 현재, 미래가 지금 그의 손끝에서 펼쳐진다.",https://ridibooks.com/books/2200004981
갑질의 신,에바트리체,현대판타지,마야마루출판사,전체 연령가,182,2016.07.04.,완결,//img.ridicdn.net/cover/2200004474/xxlarge,"가진 건 돈밖에 없던 남자, 라울 더 그레이너.
죽음을 맞이하기 직전, 그에게 한 가지 소망이 있었으니.

돈으로 새로운 인생을 사고 싶다는 바람과 함께
돌연 그의 앞에 세계를 팔겠다는 자가 등장을 하는데…….

“어떤가, 돈의 왕? 그 돈으로 이 세계를 사겠는가?”

무한에 가까운 돈으로 졸지에 세계를 통째로 사 버린 라울.
신세계의 주인이 된 한 남자가 펼치는 통쾌한 갑질 이야기가 시작된다!",https://ridibooks.com/books/2200004474
경영의 신,지원,현대판타지,(주)마야마루출판사,전체 연령가,107,2016.01.18.,완결,//img.ridicdn.net/cover/2200003977/xxlarge,"유명 중개무역업체 D&C;의 영업팀 대리 강민혁. 하지만 출중한 능력과 달리 지방대 출신이라는 이유로 부당한 나날을 보내는데……. 어느 날 그에게 우연히 찾아온 기회. 모바일 게임 ‘경영의 신’을 하던 중 게임 스킬을 현실에서도 쓸 수 있게 되었다! “그래, 나라고 회사 못 세우란 법은 없잖아. 반드시 세계 제일의 회사를 건립하고 말겠다!” 세계의 경제를 뒤흔들 강민혁의 새로운 도약이 시작된다.",https://ridibooks.com/books/2200003977
낭만마법사,송담,현대판타지,(주)마야마루출판사,전체 연령가,118,2015.11.11.,완결,//img.ridicdn.net/cover/2200003879/xxlarge,"대한무역 영업과 2년차 사원 소심남 나태석. 마법의 피를 수혈받고 물과 불을 다루는 마법사가 된다. “내가 바로 물총의 최강자 나태석이다!” 그는 계약한 샘플에 우연히 떨어진 물방울로 인해 대박을 터트리고, 자신의 회사를 차리며 승승장구하는데……! 생활 속에서 낭만을 찾는 마법사 나태석의 멋진 여행! 낭만 마법사!",https://ridibooks.com/books/2200003879
절대자의 게임,화운,퓨전판타지,(주)마야마루출판사,전체 연령가,361,2015.10.02.,완결,//img.ridicdn.net/cover/2200003702/xxlarge,"불의의 사고로 모든 걸 잃은 청년 이민준. 암울한 현실을 살아가던 그에게 찾아온 천재일우의 기회 ‘절대자의 게임’. “하루 게임에 300만 원이나 벌었어!” 게임에서 번 돈을 현실에서도 마음대로 사용하고, 레어 퀘스트로 얻은 현실 능력치로 몸을 강화할 수도 있다! “이건 정말 대단해!” 불행하던 이민준의 삶이 달라진다. 게임을 통해 성장한 이민준은 현실의 절대자가 된다!",https://ridibooks.com/books/2200003702
